code,title
A00,Cólera
A01,Fiebre tifoidea y paratifoidea
A02,Otras infecciones por Salmonella
A03,Shigelosis
A04,Otras infecciones intestinales bacterianas
A05,Otras intoxicaciones alimentarias bacterianas
A06,Amebiasis
A07,Otras enfermedades intestinales por protozoarios
A08,Infecciones intestinales virales
A09,Diarrea y gastroenteritis de origen infeccioso
A15,Tuberculosis respiratoria
A16,Tuberculosis respiratoria sin confirmación bacteriológica
A17,Tuberculosis del sistema nervioso
A18,Tuberculosis de otros órganos
A19,Tuberculosis miliar
A20,Peste
A21,Tularemia
A22,Ántrax
A23,Brucelosis
A24,Muermo y melioidosis
A25,Fiebres por mordedura de rata
A26,Erisipeloide
A27,Leptospirosis
A28,Otras enfermedades zoonóticas bacterianas
A30,Lepra
A31,Infecciones por otras micobacterias
A32,Listeriosis
A33,Tétanos neonatal
A34,Tétanos obstétrico
A35,Otros tétanos
A36,Difteria
A37,Tos ferina
A38,Escarlatina
A39,Infección meningocócica
A40,Septicemia estreptocócica
A41,Otras septicemias
A46,Erisipela
A48,Otras enfermedades bacterianas
A49,Infección bacteriana de sitio no especificado
A50,Sífilis congénita
A51,Sífilis temprana
A52,Sífilis tardía
A53,Otras sífilis y las no especificadas
A54,Infección gonocócica
A55,Linfogranuloma venéreo por clamidias
A56,Otras enfermedades de transmisión sexual por clamidias
A57,Chancro blando
A58,Granuloma inguinal
A59,Tricomoniasis
A60,Infección anogenital por virus del herpes
A63,Otras enfermedades de transmisión predominantemente sexual
A64,Enfermedad de transmisión sexual no especificada
A65,Sífilis no venérea
A66,Pian
A67,Pinta
A68,Fiebres recurrentes
A69,Otras infecciones por espiroquetas
A70,Infección por Chlamydia psittaci
A71,Tracoma
A74,Otras enfermedades por clamidias
A75,Tifus
A77,Fiebre manchada
A78,Fiebre Q
A79,Otras rickettsiosis
A80,Poliomielitis aguda
A81,Infecciones atípicas por virus
A82,Rabia
A83,Encefalitis viral transmitida por mosquitos
A84,Encefalitis viral transmitida por garrapatas
A85,Otras encefalitis virales
A86,Encefalitis viral no especificada
A87,Meningitis viral
A88,Otras infecciones virales del sistema nervioso central
A89,Infección viral del sistema nervioso central no especificada
A90,Dengue clásico
A91,Fiebre hemorrágica del dengue
A92,Otras fiebres virales transmitidas por mosquitos
A93,Otras fiebres virales transmitidas por artrópodos
A94,Fiebre viral transmitida por artrópodos no especificada
A95,Fiebre amarilla
A96,Fiebres hemorrágicas por arenavirus
A98,Otras fiebres hemorrágicas virales
A99,Fiebre viral hemorrágica no especificada
B00,Infecciones herpéticas
B01,Varicela
B02,Herpes zóster
B03,Viruela
B04,Viruela de los monos
B05,Sarampión
B06,Rubéola
B07,Verrugas víricas
B08,Otras infecciones víricas caracterizadas por lesiones cutáneas
B09,Infección viral no especificada caracterizada por lesiones de piel y mucosas
B10,Otras infecciones por herpesvirus
B15,Hepatitis aguda tipo A
B16,Hepatitis aguda tipo B
B17,Otras hepatitis virales agudas
B18,Hepatitis viral crónica
B19,Hepatitis viral no especificada
B20,Enfermedad por VIH con enfermedades infecciosas y parasitarias
B21,Enfermedad por VIH con neoplasias malignas
B22,Enfermedad por VIH con otras enfermedades especificadas
